#word,len,pattern,sortedword
bloodshed,9,ABCCDEFGD,bddehloos
bloodshot,9,ABCCDEFCG,bdhlooost
bloodstain,10,ABCCDEFGHI,abdilnoost
bloodstream,11,ABCCDEFGHIJ,abdelmoorst
bloody,6,ABCCDE,bdlooy
bloom,5,ABCCD,blmoo
Bloomfield,10,ABCCDEFGBH,Bdefillmoo
Bloomington,11,ABCCDEFGHCF,Bgilmnnooot
blossom,7,ABCDDCE,blmooss
blot,4,ABCD,blot
blotch,6,ABCDEF,bchlot
blotted,7,ABCDDEF,bdelott
blotting,8,ABCDDEFG,bgilnott
blouse,6,ABCDEF,belosu
blow,4,ABCD,blow
blowfish,8,ABCDEFGH,bfhilosw
blown,5,ABCDE,blnow
blowup,6,ABCDEF,blopuw
blubber,7,ABCAADE,bbbelru
bludgeon,8,ABCDEFGH,bdeglnou
blue,4,ABCD,belu
blueback,8,ABCDAEFG,abbceklu
blueberry,9,ABCDADEEF,bbeelrruy
bluebill,8,ABCDAEBB,bbeilllu
bluebird,8,ABCDAEFG,bbdeilru
bluebonnet,10,ABCDAEFFDG,bbeelnnotu
bluebook,8,ABCDAEEF,bbekloou
bluebush,8,ABCDACEF,bbehlsuu
bluefish,8,ABCDEFGH,befhilsu
bluegill,8,ABCDEFBB,begilllu
bluegrass,9,ABCDEFGHH,abeglrssu
bluejacket,10,ABCDEFGHDI,abceejkltu
blueprint,9,ABCDEFGHI,beilnprtu
bluestocking,12,ABCDEFGHIJKL,bcegiklnostu
bluff,5,ABCDD,bfflu
bluish,6,ABCDEF,bhilsu
blunder,7,ABCDEFG,bdelnru
blundering,10,ABCDEFGHDI,bdegilnnru
blunt,5,ABCDE,blntu
blur,4,ABCD,blru
blurb,5,ABCDA,bblru
blurred,7,ABCDDEF,bdelrru
blurring,8,ABCDDEFG,bgilnrru
blurry,6,ABCDDE,blrruy
blurt,5,ABCDE,blrtu
blush,5,ABCDE,bhlsu
blushing,8,ABCDEFGH,bghilnsu
bluster,7,ABCDEFG,belrstu
blustering,10,ABCDEFGHIJ,begilnrstu
blustery,8,ABCDEFGH,belrstuy
Blvd,4,ABCD,Bdlv
boa,3,ABC,abo
boar,4,ABCD,abor
board,5,ABCDE,abdor
boardinghouse,13,ABCDEFGHIBJKL,abdeghinoorsu
boards,6,ABCDEF,abdors
boast,5,ABCDE,abost
boastful,8,ABCDEFGH,abflostu
boat,4,ABCD,abot
boathouse,9,ABCDEBFGH,abehoostu
boatload,8,ABCDEBCF,aabdloot
boatman,7,ABCDECF,aabmnot
boatmen,7,ABCDEFG,abemnot
boatswain,9,ABCDEFCGH,aabinostw
boatyard,8,ABCDECFG,aabdorty
bob,3,ABA,bbo
bobbed,6,ABAACD,bbbdeo
Bobbie,6,ABAACD,Bbbeio
bobbin,6,ABAACD,bbbino
bobbing,7,ABAACDE,bbbgino
bobble,6,ABAACD,bbbelo
Bobbsey,7,ABAACDE,Bbbeosy
bobby,5,ABAAC,bbboy
bobcat,6,ABACDE,abbcot
bobolink,8,ABABCDEF,bbiklnoo
Bobrow,6,ABACBD,Bboorw
bobwhite,8,ABACDEFG,bbehiotw
bock,4,ABCD,bcko
bockwurst,9,ABCDEFGHI,bckorstuw
bode,4,ABCD,bdeo
Bodenheim,9,ABCDEFDGH,Bdeehimno
bodhisattva,11,ABCDEFGHHIG,aabdhiosttv
bodice,6,ABCDEF,bcdeio
bodied,6,ABCDEC,bddeio
bodily,6,ABCDEF,bdiloy
body,4,ABCD,bdoy
bodybuilder,11,ABCDAEFGCHI,bbddeiloruy
bodybuilding,12,ABCDAEFGCFHI,bbddgiilnouy
bodyguard,9,ABCDEFGHC,abddgoruy
bodyweight,10,ABCDEFGHIJ,bdeghiotwy
Boeing,6,ABCDEF,Begino
Boer,4,ABCD,Beor
bog,3,ABC,bgo
Bogart,6,ABCDEF,Bagort
Bogartian,9,ABCDEFGDH,Baaginort
